step;Mes;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess;HH
148;7;14;0;0;0;33978;0;2.72
149;7;15;0;0;0;33978;0;2.72
150;7;16;1;0;2;33978;600;2.72
151;7;16;1;1;2;111763;400;2.72
152;7;16;1;2;2;391169;100;2.72
153;7;16;1;2.1;2;181614;200;2.72
154;7;16;1;2.2;2;251466;100;2.72
155;7;16;1;2.3;2;321317;0;2.72
156;7;17;0;0;0;33978;0;2.72
157;7;18;11;0;2;33978;80;2.72
158;7;18;11;1;2;111763;30;2.72
159;7;18;11;2;2;273818;30;2.72
160;7;18;11;2.1;2;152276;20;2.72
161;7;18;11;2.2;2;192790;10;2.72
162;7;18;11;2.4;2;273818;0;2.72
163;8;8;1;0;0;33978;0;2.58
164;8;9;1;0;2;33978;400;2.58
165;8;9;1;2.1;2;181614;0;2.58
166;8;10;0;0;0;33978;0;2.58
167;8;11;0;0;0;33978;0;2.58
168;8;12;0;0;0;33978;0;2.58
169;8;13;0;0;0;33978;0;2.58
170;8;14;0;0;0;33978;0;2.58
171;8;15;0;0;0;33978;0;2.58
172;8;16;0;0;0;33978;0;2.58
173;8;17;0;0;0;33978;0;2.58
174;8;18;3;0;2;33978;200;2.58
175;8;18;3;1;2;111763;100;2.58
176;8;18;3;2;2;391169;100;2.58
177;8;18;3;2.4;2;391169;0;2.58
178;8;19;8;0;3;33978;100;2.58
179;8;19;8;1;3;111763;38;2.58
180;8;19;8;2;3;273818;13;2.58
181;9;9;3;0;0;48236;0;2.9
182;9;10;0;0;0;48236;0;2.9
183;9;11;0;0;0;48236;0;2.9
184;9;12;0;0;0;48236;0;2.9
185;9;13;0;0;0;48236;0;2.9
186;9;14;0;0;0;48236;0;2.9
187;9;15;0;0;0;48236;0;2.9
188;9;16;0;0;0;48236;0;2.9
189;9;17;0;0;0;48236;0;2.9
190;9;18;1;0;2;48236;800;2.9
191;9;18;1;1;2;111763;400;2.9
192;9;18;1;2;2;391169;100;2.9
193;9;18;1;2.1;2;181614;400;2.9
194;9;18;1;2.2;2;251466;300;2.9
195;9;19;1;0;2;48236;800;2.9
196;9;19;1;1;2;111763;500;2.9
197;9;19;1;2;2;391169;100;2.9
198;9;19;1;2.1;2;181614;400;2.9
199;9;19;1;2.2;2;251466;400;2.9
200;9;20;9;0;2;48236;122;2.9
201;9;20;9;1;2;111763;67;2.9
202;9;20;9;2;2;391169;11;2.9
203;9;20;9;2.1;2;181614;44;2.9
204;9;20;9;2.2;2;251466;22;2.9
205;9;20;9;2.3;2;321317;0;2.9
206;10;10;2;0;1;48236;200;3.02
207;10;10;2;1;1;111763;0;3.02
208;10;11;1;0;1;48236;700;3.02
209;10;11;1;1;1;111763;0;3.02
210;10;12;0;0;0;48236;0;3.02
211;10;13;0;0;0;48236;0;3.02
212;10;14;0;0;0;48236;0;3.02
213;10;15;0;0;0;48236;0;3.02
214;10;16;0;0;0;48236;0;3.02
215;10;17;0;0;0;48236;0;3.02
216;10;18;0;0;0;48236;0;3.02
217;10;19;0;0;0;48236;0;3.02
218;10;20;0;0;0;48236;0;3.02
219;10;21;10;0;2;48236;140;3.02
220;10;21;10;1;2;111763;80;3.02
221;10;21;10;2;2;391169;30;3.02
222;10;21;10;2.1;2;181614;60;3.02
223;10;21;10;2.2;2;251466;30;3.02
224;10;21;10;2.3;2;321317;0;3.02
225;11;11;1;0;0;48236;0;3.61
226;11;12;1;0;1;48236;100;3.61
227;11;12;1;1;1;111919;0;3.61
228;11;13;0;0;0;48236;0;3.61
229;11;14;1;0;1;48236;300;3.61
230;11;14;1;1;1;121338;0;3.61
231;11;15;1;0;2;48236;300;3.61
232;11;15;1;2;2;241098;0;3.61
233;11;16;0;0;0;48236;0;3.61
234;11;17;2;0;0;48236;0;3.61
235;11;18;0;0;0;48236;0;3.61
236;11;19;0;0;0;48236;0;3.61
237;11;20;0;0;0;48236;0;3.61
238;11;21;0;0;0;48236;0;3.61
239;11;22;2;0;2;48236;150;3.61
240;11;22;2;1;2;120527;100;3.61
241;11;22;2;2;2;239728;0;3.61
242;12;12;1;0;0;48236;0;4.14
243;12;13;1;0;1;48236;100;4.62
244;12;13;1;1;1;111919;0;4.62
245;12;14;0;0;0;48236;0;4.62
246;12;15;1;0;1;48236;300;4.62
