step;N_subasta;mes_subastado;slots_ofertados;ronda;N total de ronda;fee;excess %
635;22;01/06/2023;12;1;10;209516;158
636;22;01/06/2023;12;2;10;419483;142
637;22;01/06/2023;12;3;10;628970;125
638;22;01/06/2023;12;4;10;838494;75
639;22;01/06/2023;12;5;10;1048226;42
640;22;01/06/2023;12;6;10;1180875;42
641;22;01/06/2023;12;7;10;1313271;25
642;22;01/06/2023;12;8;10;1412596;17
643;22;01/06/2023;12;9;10;1489329;17
644;22;01/06/2023;12;10;10;1567029;0
