step;fee;excess %
466;48236;0
467;48236;150
468;118390;150
469;239776;125
470;361326;92
471;482558;75
472;601406;42
473;700049;25
474;784255;17
475;854409;8
476;928278;0
477;48236;1500
478;120276;1300
479;241619;1300
480;364577;1300
481;482876;1100
482;604055;1100
483;724833;1100
484;844820;1100
485;967667;0
486;48236;767
487;122119;733
488;242859;733
489;361577;733
490;481376;667
491;601233;667
492;721707;667
493;841713;667
494;961382;600
495;1080351;467
496;1201149;467
497;1321078;433
498;1441436;433
499;1562567;433
500;1681193;433
501;1803231;433
502;1923285;433
503;2044488;333
504;2167243;300
505;2285542;233
506;2405153;233
507;2525627;233
508;2647717;233
509;48236;1500
510;121767;1400
511;240702;1400
512;360082;1200
513;479596;1000
514;600606;1000
515;723106;1000
516;842181;1000
517;48236;1400
518;120527;1300
519;241759;1200
520;361148;1100
521;483971;900
522;602545;900
523;721524;800
524;839851;800
525;961638;800
526;1083795;600
527;1204882;600
528;1327744;600
529;1448228;600
530;1566657;600
531;1684864;600
532;1803264;600
533;1926242;600
534;2045930;500
535;2165763;500
536;2284722;500
537;2407589;500
538;2528628;500
539;2647235;400
540;48236;1400
541;121314;1400
542;242786;1400
543;364645;1300
544;486036;1100
545;604831;1100
546;727655;1000
547;846074;1000
548;966572;900
549;1086878;700
550;1207781;600
551;1326775;600
552;1449202;600
553;1569329;600
554;1690503;600
555;1811590;500
556;1931345;500
557;2051713;300
558;2173398;200
559;2293385;200
560;2414506;200
561;2534619;200
562;2655971;200
563;2778587;200
564;2900903;100
565;3019265;-200
566;2930494;100
567;2960084;100
568;2989675;0
569;48236;0
570;48236;0
571;48236;0
572;48236;0
573;48236;0
574;48236;0
575;48236;162
576;118728;154
577;241479;154
578;363357;154
579;485370;139
580;607301;108
581;726309;92
582;847019;85
583;966148;85
584;1084340;77
585;1205881;77
586;1327898;77
587;1448739;77
588;1568422;77
589;1687059;69
590;1806351;62
591;1926010;62
592;2046948;62
593;2165396;62
594;2287226;46
595;2381614;46
596;2476345;46
597;2571085;39
598;2655426;39
599;2741300;23
600;2825882;0
601;48236;300
602;209456;240
603;419902;200
604;629118;160
605;838320;120
606;1047525;120
607;1256255;100
608;1466419;80
609;1676320;20
610;1775640;20
611;1875068;20
612;1974888;20
613;2073853;-20
614;1999629;0
615;48236;400
616;209456;350
617;418497;300
618;627638;225
619;837002;175
620;1047040;175
621;1256681;125
622;1466018;125
623;1676510;50
624;2007576;0
625;48236;0
626;48236;0
627;48236;0
628;48236;0
629;48236;0
630;48236;0
631;48236;0
632;48236;0
633;48236;0
634;48236;175
635;209516;158
636;419483;142
637;628970;125
638;838494;75
639;1048226;42
640;1180875;42
641;1313271;25
642;1412596;17
643;1489329;17
644;1567029;0
