;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV;USDINV
;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX;FX
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024;01/01/2025;01/02/2025;01/03/2025;01/04/2025;01/05/2025;01/06/2025;01/07/2025;01/08/2025;01/09/2025;01/10/2025;01/11/2025;01/12/2025;01/01/2026;01/02/2026;01/03/2026;01/04/2026;01/05/2026;01/06/2026;01/07/2026;01/08/2026;01/09/2026;01/10/2026;01/11/2026;01/12/2026;01/01/2027;01/02/2027;01/03/2027;01/04/2027;01/05/2027;01/06/2027
01/01/2020;1,1228;1,1252;1,1272;1,1293;1,1314;1,1336;1,1357;1,1378;1,1399;1,142;1,1442;1,1463;1,1483;1,1503;1,1523;1,1543;1,1563;1,1583;1,1603;1,1623;1,1643;1,1662;1,1682;1,1702;1,1721;1,1741;1,1761;1,1781;1,1801;1,1821;1,1841;1,1861;1,1881;1,1901;1,1921;1,1941;1,196;1,198;1,2;1,202;1,204;1,206;1,208;1,21;1,212;1,214;1,216;1,218;1,22;1,222;1,2239;1,2259;1,2279;1,23;1,232;1,234;1,236;1,238;1,2399;1,2419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1312;1,1333;1,1354;1,1375;1,1396;1,1416;1,1436;1,1457;1,1476;1,1496;1,1516;1,1535;1,1555;1,1575;1,1594;1,1614;1,1633;1,1653;1,1672;1,1691;1,1711;1,1731;1,175;1,177;1,179;1,1809;1,1829;1,1849;1,1868;1,1888;1,1907;1,1926;1,1946;1,1966;1,1985;1,2005;1,2025;1,2045;1,2065;1,2084;1,2104;1,2123;1,2143;1,2162;1,2182;1,2202;1,2222;1,2241;1,2261;1,2281;1,23;1,232;1,2339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1311;1,1332;1,1352;1,1373;1,1394;1,1413;1,1433;1,1452;1,1472;1,1491;1,151;1,153;1,1549;1,1568;1,1587;1,1606;1,1625;1,1644;1,1663;1,1682;1,1701;1,1721;1,174;1,176;1,1779;1,1799;1,1818;1,1837;1,1856;1,1875;1,1894;1,1913;1,1933;1,1952;1,1972;1,1991;1,2011;1,203;1,2049;1,2069;1,2088;1,2107;1,2126;1,2146;1,2165;1,2184;1,2204;1,2223;1,2243;1,2262;1,2282;1,2301;1,232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1311;1,1332;1,1352;1,1373;1,1394;1,1413;1,1433;1,1452;1,1472;1,1491;1,151;1,153;1,1549;1,1568;1,1587;1,1606;1,1625;1,1644;1,1663;1,1682;1,1701;1,1721;1,174;1,176;1,1779;1,1799;1,1818;1,1837;1,1856;1,1875;1,1894;1,1913;1,1933;1,1952;1,1972;1,1991;1,2011;1,203;1,2049;1,2069;1,2088;1,2107;1,2126;1,2146;1,2165;1,2184;1,2204;1,2223;1,2243;1,2262;1,2282;1,2301;1,232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
05/01/2020;1,1165;1,1188;1,1208;1,1228;1,1249;1,127;1,1291;1,1311;1,1332;1,1352;1,1373;1,1394;1,1413;1,1433;1,1452;1,1472;1,1491;1,151;1,153;1,1549;1,1568;1,1587;1,1606;1,1625;1,1644;1,1663;1,1682;1,1701;1,1721;1,174;1,176;1,1779;1,1799;1,1818;1,1837;1,1856;1,1875;1,1894;1,1913;1,1933;1,1952;1,1972;1,1991;1,2011;1,203;1,2049;1,2069;1,2088;1,2107;1,2126;1,2146;1,2165;1,2184;1,2204;1,2223;1,2243;1,2262;1,2282;1,2301;1,232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06/01/2020;1,1191;1,1211;1,1231;1,1252;1,1273;1,1294;1,1315;1,1336;1,1357;1,1377;1,1397;1,1417;1,1437;1,1457;1,1477;1,1496;1,1515;1,1535;1,1554;1,1573;1,1592;1,1611;1,163;1,1649;1,1668;1,1687;1,1706;1,1725;1,1744;1,1763;1,1783;1,1802;1,1821;1,184;1,1859;1,1878;1,1896;1,1915;1,1934;1,1953;1,1972;1,1991;1,201;1,203;1,2049;1,2068;1,2087;1,2106;1,2125;1,2144;1,2162;1,2182;1,2201;1,222;1,2239;1,2258;1,2278;1,2296;1,2315;1,2334;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07/01/2020;1,1144;1,1163;1,1183;1,1204;1,1225;1,1246;1,1267;1,1287;1,1308;1,1328;1,1348;1,1368;1,1389;1,1409;1,1429;1,1449;1,1468;1,1488;1,1507;1,1526;1,1545;1,1564;1,1583;1,1602;1,1621;1,164;1,1659;1,1679;1,1698;1,1717;1,1736;1,1756;1,1775;1,1794;1,1813;1,1832;1,1851;1,187;1,1889;1,1908;1,1927;1,1947;1,1966;1,1985;1,2005;1,2024;1,2043;1,2062;1,2081;1,21;1,2119;1,2139;1,2158;1,2177;1,2197;1,2216;1,2235;1,2254;1,2273;1,2293;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
08/01/2020;1,1111;1,1129;1,1149;1,1169;1,119;1,1212;1,1232;1,1253;1,1274;1,1294;1,1314;1,1334;1,1355;1,1375;1,1395;1,1415;1,1434;1,1454;1,1474;1,1493;1,1513;1,1532;1,1552;1,1571;1,159;1,1609;1,1628;1,1647;1,1667;1,1686;1,1705;1,1725;1,1744;1,1763;1,1782;1,1802;1,1821;1,1839;1,1858;1,1878;1,1897;1,1917;1,1936;1,1955;1,1975;1,1994;1,2013;1,2032;1,2051;1,2071;1,209;1,2109;1,2129;1,2148;1,2167;1,2187;1,2206;1,2225;1,2244;1,2264;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09/01/2020;1,1105;1,1122;1,1142;1,1163;1,1184;1,1205;1,1226;1,1247;1,1268;1,1288;1,1308;1,1328;1,1348;1,1368;1,1388;1,1408;1,1427;1,1447;1,1467;1,1486;1,1505;1,1525;1,1544;1,1563;1,1582;1,1601;1,162;1,1639;1,1658;1,1677;1,1697;1,1716;1,1735;1,1754;1,1773;1,1792;1,181;1,1829;1,1848;1,1867;1,1886;1,1905;1,1924;1,1944;1,1963;1,1982;1,2001;1,202;1,2039;1,2058;1,2077;1,2096;1,2115;1,2134;1,2154;1,2173;1,2192;1,2211;1,223;1,2249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/01/2020;1,112;1,1137;1,1157;1,1177;1,1198;1,122;1,124;1,1261;1,1282;1,1302;1,1322;1,1341;1,1362;1,1382;1,1402;1,1422;1,1442;1,1461;1,1481;1,15;1,1519;1,1539;1,1558;1,1577;1,1596;1,1615;1,1633;1,1652;1,1671;1,169;1,1709;1,1728;1,1747;1,1766;1,1784;1,1803;1,1821;1,184;1,1858;1,1877;1,1896;1,1915;1,1934;1,1953;1,1972;1,199;1,2009;1,2028;1,2046;1,2065;1,2084;1,2102;1,2121;1,214;1,2159;1,2178;1,2197;1,2215;1,2234;1,2253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/01/2020;1,112;1,1137;1,1157;1,1177;1,1198;1,122;1,124;1,1261;1,1282;1,1302;1,1322;1,1341;1,1362;1,1382;1,1402;1,1422;1,1442;1,1461;1,1481;1,15;1,1519;1,1539;1,1558;1,1577;1,1596;1,1615;1,1633;1,1652;1,1671;1,169;1,1709;1,1728;1,1747;1,1766;1,1784;1,1803;1,1821;1,184;1,1858;1,1877;1,1896;1,1915;1,1934;1,1953;1,1972;1,199;1,2009;1,2028;1,2046;1,2065;1,2084;1,2102;1,2121;1,214;1,2159;1,2178;1,2197;1,2215;1,2234;1,2253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2020;1,112;1,1137;1,1157;1,1177;1,1198;1,122;1,124;1,1261;1,1282;1,1302;1,1322;1,1341;1,1362;1,1382;1,1402;1,1422;1,1442;1,1461;1,1481;1,15;1,1519;1,1539;1,1558;1,1577;1,1596;1,1615;1,1633;1,1652;1,1671;1,169;1,1709;1,1728;1,1747;1,1766;1,1784;1,1803;1,1821;1,184;1,1858;1,1877;1,1896;1,1915;1,1934;1,1953;1,1972;1,199;1,2009;1,2028;1,2046;1,2065;1,2084;1,2102;1,2121;1,214;1,2159;1,2178;1,2197;1,2215;1,2234;1,2253;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/01/2020;1,1125;1,1147;1,1173;1,1193;1,1215;1,1237;1,1257;1,1278;1,1299;1,1319;1,1339;1,1359;1,1379;1,14;1,142;1,144;1,1459;1,1479;1,1499;1,1518;1,1538;1,1557;1,1577;1,1596;1,1615;1,1633;1,1652;1,1671;1,169;1,1709;1,1728;1,1746;1,1765;1,1784;1,1802;1,1821;1,184;1,1858;1,1877;1,1895;1,1914;1,1933;1,1952;1,1971;1,199;1,2008;1,2027;1,2046;1,2064;1,2083;1,2102;1,212;1,2139;1,2158;1,2177;1,2196;1,2215;1,2233;1,2252;1,2271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/01/2020;1,1133;1,1144;1,1162;1,1182;1,1203;1,1225;1,1246;1,1267;1,1287;1,1307;1,1327;1,1347;1,1368;1,1388;1,1408;1,1427;1,1447;1,1466;1,1485;1,1504;1,1523;1,1542;1,1561;1,158;1,1598;1,1617;1,1635;1,1654;1,1672;1,1691;1,1709;1,1727;1,1746;1,1764;1,1782;1,1801;1,1819;1,1837;1,1855;1,1873;1,1892;1,191;1,1929;1,1947;1,1965;1,1983;1,2002;1,202;1,2038;1,2056;1,2075;1,2093;1,2112;1,213;1,2148;1,2167;1,2185;1,2204;1,2222;1,224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/01/2020;1,1154;1,1165;1,1183;1,1204;1,1225;1,1247;1,1268;1,1288;1,1309;1,1329;1,1349;1,1369;1,1389;1,141;1,143;1,145;1,147;1,1489;1,1509;1,1528;1,1547;1,1567;1,1586;1,1605;1,1623;1,1642;1,166;1,1679;1,1698;1,1716;1,1735;1,1753;1,1772;1,1791;1,1809;1,1828;1,1846;1,1864;1,1882;1,1901;1,1919;1,1938;1,1957;1,1975;1,1994;1,2012;1,2031;1,2049;1,2067;1,2086;1,2104;1,2123;1,2142;1,216;1,2179;1,2197;1,2216;1,2234;1,2253;1,2271;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/01/2020;1,1137;1,1147;1,1165;1,1185;1,1207;1,1228;1,1249;1,127;1,1291;1,1311;1,1331;1,1351;1,1371;1,1391;1,1412;1,1432;1,1452;1,1472;1,1491;1,1511;1,1531;1,155;1,157;1,1589;1,1608;1,1627;1,1646;1,1666;1,1685;1,1704;1,1723;1,1742;1,1762;1,1781;1,18;1,1819;1,1838;1,1857;1,1875;1,1895;1,1914;1,1933;1,1952;1,1972;1,1991;1,201;1,2029;1,2048;1,2067;1,2086;1,2105;1,2124;1,2143;1,2162;1,2182;1,2201;1,222;1,2239;1,2258;1,2277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17/01/2020;1,1096;1,1106;1,1123;1,1144;1,1165;1,1186;1,1207;1,1227;1,1248;1,1268;1,1288;1,1308;1,1329;1,1349;1,1369;1,1389;1,1409;1,1429;1,1448;1,1468;1,1487;1,1506;1,1526;1,1545;1,1564;1,1583;1,1601;1,1621;1,164;1,1659;1,1678;1,1697;1,1716;1,1735;1,1754;1,1773;1,1792;1,1811;1,1829;1,1849;1,1868;1,1887;1,1906;1,1925;1,1944;1,1963;1,1982;1,2001;1,202;1,2039;1,2058;1,2077;1,2096;1,2116;1,2135;1,2154;1,2173;1,2192;1,2211;1,223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/01/2020;1,1096;1,1106;1,1123;1,1144;1,1165;1,1186;1,1207;1,1227;1,1248;1,1268;1,1288;1,1308;1,1329;1,1349;1,1369;1,1389;1,1409;1,1429;1,1448;1,1468;1,1487;1,1506;1,1526;1,1545;1,1564;1,1583;1,1601;1,1621;1,164;1,1659;1,1678;1,1697;1,1716;1,1735;1,1754;1,1773;1,1792;1,1811;1,1829;1,1849;1,1868;1,1887;1,1906;1,1925;1,1944;1,1963;1,1982;1,2001;1,202;1,2039;1,2058;1,2077;1,2096;1,2116;1,2135;1,2154;1,2173;1,2192;1,2211;1,223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19/01/2020;1,1096;1,1106;1,1123;1,1144;1,1165;1,1186;1,1207;1,1227;1,1248;1,1268;1,1288;1,1308;1,1329;1,1349;1,1369;1,1389;1,1409;1,1429;1,1448;1,1468;1,1487;1,1506;1,1526;1,1545;1,1564;1,1583;1,1601;1,1621;1,164;1,1659;1,1678;1,1697;1,1716;1,1735;1,1754;1,1773;1,1792;1,1811;1,1829;1,1849;1,1868;1,1887;1,1906;1,1925;1,1944;1,1963;1,1982;1,2001;1,202;1,2039;1,2058;1,2077;1,2096;1,2116;1,2135;1,2154;1,2173;1,2192;1,2211;1,223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20/01/2020;1,1096;1,1106;1,1123;1,1144;1,1165;1,1186;1,1207;1,1227;1,1248;1,1268;1,1288;1,1308;1,1329;1,1349;1,1369;1,1389;1,1409;1,1429;1,1448;1,1468;1,1487;1,1506;1,1526;1,1545;1,1564;1,1583;1,1601;1,1621;1,164;1,1659;1,1678;1,1697;1,1716;1,1735;1,1754;1,1773;1,1792;1,1811;1,1829;1,1849;1,1868;1,1887;1,1906;1,1925;1,1944;1,1963;1,1982;1,2001;1,202;1,2039;1,2058;1,2077;1,2096;1,2116;1,2135;1,2154;1,2173;1,2192;1,2211;1,223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21/01/2020;1,1099;1,1106;1,1123;1,1144;1,1165;1,1186;1,1206;1,1226;1,1247;1,1267;1,1286;1,1306;1,1326;1,1346;1,1366;1,1385;1,1404;1,1423;1,1443;1,1462;1,1481;1,1499;1,1518;1,1537;1,1556;1,1574;1,1593;1,1611;1,163;1,1649;1,1668;1,1687;1,1705;1,1724;1,1743;1,1761;1,178;1,1798;1,1817;1,1836;1,1854;1,1873;1,1892;1,1911;1,193;1,1949;1,1967;1,1986;1,2005;1,2023;1,2042;1,206;1,2079;1,2098;1,2117;1,2136;1,2155;1,2173;1,2192;1,2211;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22/01/2020;1,1096;1,1103;1,112;1,1141;1,1162;1,1183;1,1203;1,1223;1,1243;1,1263;1,1283;1,1302;1,1322;1,1342;1,1362;1,1381;1,14;1,1419;1,1438;1,1457;1,1476;1,1494;1,1513;1,1532;1,1551;1,1569;1,1587;1,1606;1,1625;1,1644;1,1663;1,1682;1,17;1,1719;1,1738;1,1756;1,1775;1,1794;1,1812;1,1831;1,185;1,1868;1,1887;1,1906;1,1925;1,1944;1,1962;1,1981;1,2;1,2018;1,2037;1,2056;1,2075;1,2094;1,2113;1,2131;1,215;1,2169;1,2188;1,2206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23/01/2020;1,1057;1,1062;1,108;1,11;1,1121;1,1141;1,1162;1,1182;1,1202;1,1222;1,1241;1,126;1,128;1,13;1,1319;1,1338;1,1358;1,1377;1,1396;1,1414;1,1433;1,1452;1,147;1,1489;1,1508;1,1526;1,1544;1,1563;1,1582;1,1601;1,162;1,1639;1,1658;1,1677;1,1695;1,1714;1,1732;1,1751;1,177;1,1789;1,1807;1,1826;1,1845;1,1864;1,1883;1,1902;1,192;1,1939;1,1958;1,1977;1,1995;1,2014;1,2033;1,2052;1,2071;1,209;1,2109;1,2127;1,2146;1,2165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24/01/2020;1,1032;1,1037;1,1054;1,1075;1,1095;1,1116;1,1136;1,1156;1,1176;1,1195;1,1214;1,1233;1,1253;1,1272;1,1291;1,131;1,1328;1,1347;1,1365;1,1383;1,1402;1,142;1,1438;1,1456;1,1474;1,1492;1,151;1,1528;1,1546;1,1565;1,1583;1,1602;1,162;1,1638;1,1657;1,1675;1,1693;1,1711;1,1729;1,1747;1,1766;1,1784;1,1803;1,1821;1,1839;1,1857;1,1876;1,1894;1,1912;1,193;1,1949;1,1967;1,1986;1,2004;1,2022;1,2041;1,2059;1,2077;1,2096;1,2114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25/01/2020;1,1032;1,1037;1,1054;1,1075;1,1095;1,1116;1,1136;1,1156;1,1176;1,1195;1,1214;1,1233;1,1253;1,1272;1,1291;1,131;1,1328;1,1347;1,1365;1,1383;1,1402;1,142;1,1438;1,1456;1,1474;1,1492;1,151;1,1528;1,1546;1,1565;1,1583;1,1602;1,162;1,1638;1,1657;1,1675;1,1693;1,1711;1,1729;1,1747;1,1766;1,1784;1,1803;1,1821;1,1839;1,1857;1,1876;1,1894;1,1912;1,193;1,1949;1,1967;1,1986;1,2004;1,2022;1,2041;1,2059;1,2077;1,2096;1,2114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26/01/2020;1,1032;1,1037;1,1054;1,1075;1,1095;1,1116;1,1136;1,1156;1,1176;1,1195;1,1214;1,1233;1,1253;1,1272;1,1291;1,131;1,1328;1,1347;1,1365;1,1383;1,1402;1,142;1,1438;1,1456;1,1474;1,1492;1,151;1,1528;1,1546;1,1565;1,1583;1,1602;1,162;1,1638;1,1657;1,1675;1,1693;1,1711;1,1729;1,1747;1,1766;1,1784;1,1803;1,1821;1,1839;1,1857;1,1876;1,1894;1,1912;1,193;1,1949;1,1967;1,1986;1,2004;1,2022;1,2041;1,2059;1,2077;1,2096;1,2114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27/01/2020;1,1019;1,1022;1,104;1,106;1,1081;1,1101;1,1121;1,1141;1,1161;1,118;1,1199;1,1218;1,1237;1,1256;1,1275;1,1293;1,1311;1,1329;1,1347;1,1365;1,1383;1,1401;1,1418;1,1436;1,1454;1,1471;1,1489;1,1507;1,1525;1,1543;1,1562;1,158;1,1598;1,1616;1,1634;1,1652;1,167;1,1688;1,1706;1,1724;1,1742;1,176;1,1779;1,1797;1,1815;1,1833;1,1851;1,1869;1,1887;1,1905;1,1923;1,1941;1,1959;1,1978;1,1996;1,2014;1,2032;1,205;1,2068;1,2086;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28/01/2020;1,102;1,1022;1,104;1,106;1,1081;1,1101;1,1122;1,1142;1,1162;1,1181;1,12;1,1219;1,1238;1,1258;1,1277;1,1295;1,1314;1,1332;1,135;1,1368;1,1386;1,1404;1,1422;1,1439;1,1457;1,1475;1,1493;1,1511;1,1529;1,1547;1,1566;1,1584;1,1602;1,162;1,1638;1,1656;1,1674;1,1691;1,1709;1,1727;1,1745;1,1764;1,1782;1,18;1,1818;1,1836;1,1854;1,1872;1,189;1,1908;1,1926;1,1944;1,1962;1,1981;1,1999;1,2017;1,2035;1,2053;1,2071;1,2089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29/01/2020;1,1022;1,1024;1,1042;1,1062;1,1083;1,1104;1,1124;1,1144;1,1164;1,1183;1,1202;1,1221;1,124;1,126;1,1279;1,1297;1,1315;1,1333;1,1351;1,1369;1,1387;1,1405;1,1423;1,144;1,1458;1,1475;1,1493;1,1511;1,1529;1,1547;1,1565;1,1583;1,1601;1,1619;1,1637;1,1654;1,1672;1,1689;1,1707;1,1725;1,1743;1,1761;1,1779;1,1797;1,1815;1,1833;1,185;1,1868;1,1886;1,1904;1,1922;1,1939;1,1957;1,1975;1,1993;1,2011;1,2029;1,2047;1,2065;1,2083;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30/01/2020;1,1031;1,1032;1,105;1,107;1,109;1,1111;1,113;1,115;1,117;1,1189;1,1208;1,1226;1,1245;1,1264;1,1282;1,1299;1,1317;1,1334;1,1351;1,1368;1,1385;1,1402;1,1419;1,1436;1,1453;1,147;1,1487;1,1504;1,1522;1,1539;1,1556;1,1573;1,1591;1,1608;1,1625;1,1642;1,1659;1,1676;1,1693;1,171;1,1727;1,1745;1,1762;1,1779;1,1796;1,1814;1,1831;1,1848;1,1865;1,1882;1,1899;1,1916;1,1934;1,1951;1,1968;1,1986;1,2003;1,202;1,2037;1,2054;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31/01/2020;1,1091;1,1092;1,1109;1,113;1,115;1,117;1,1189;1,1209;1,1228;1,1247;1,1265;1,1284;1,1303;1,1321;1,134;1,1357;1,1375;1,1393;1,141;1,1427;1,1445;1,1462;1,1479;1,1496;1,1513;1,153;1,1547;1,1564;1,1582;1,1599;1,1617;1,1634;1,1652;1,1669;1,1686;1,1704;1,1721;1,1738;1,1755;1,1773;1,179;1,1807;1,1825;1,1842;1,186;1,1877;1,1894;1,1912;1,1929;1,1946;1,1963;1,1981;1,1998;1,2016;1,2033;1,2051;1,2068;1,2086;1,2103;1,212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2020;0;1,1092;1,1109;1,113;1,115;1,117;1,1189;1,1209;1,1228;1,1247;1,1265;1,1284;1,1303;1,1321;1,134;1,1357;1,1375;1,1393;1,141;1,1427;1,1445;1,1462;1,1479;1,1496;1,1513;1,153;1,1547;1,1564;1,1582;1,1599;1,1617;1,1634;1,1652;1,1669;1,1686;1,1704;1,1721;1,1738;1,1755;1,1773;1,179;1,1807;1,1825;1,1842;1,186;1,1877;1,1894;1,1912;1,1929;1,1946;1,1963;1,1981;1,1998;1,2016;1,2033;1,2051;1,2068;1,2086;1,2103;1,212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/02/2020;0;1,1092;1,1109;1,113;1,115;1,117;1,1189;1,1209;1,1228;1,1247;1,1265;1,1284;1,1303;1,1321;1,134;1,1357;1,1375;1,1393;1,141;1,1427;1,1445;1,1462;1,1479;1,1496;1,1513;1,153;1,1547;1,1564;1,1582;1,1599;1,1617;1,1634;1,1652;1,1669;1,1686;1,1704;1,1721;1,1738;1,1755;1,1773;1,179;1,1807;1,1825;1,1842;1,186;1,1877;1,1894;1,1912;1,1929;1,1946;1,1963;1,1981;1,1998;1,2016;1,2033;1,2051;1,2068;1,2086;1,2103;1,212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/02/2020;0;1,1067;1,1083;1,1104;1,1124;1,1144;1,1172;1,119;1,1208;1,1225;1,1241;1,1258;1,1277;1,1295;1,1314;1,1331;1,1349;1,1367;1,1384;1,1401;1,1419;1,1436;1,1453;1,1471;1,1488;1,1505;1,1522;1,1539;1,1557;1,1575;1,1592;1,161;1,1627;1,1645;1,1662;1,1679;1,1696;1,1714;1,1731;1,1748;1,1766;1,1784;1,1801;1,1819;1,1836;1,1854;1,1871;1,1888;1,1906;1,1923;1,194;1,1958;1,1976;1,1993;1,2011;1,2028;1,2046;1,2063;1,2081;1,2098;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04/02/2020;0;1,1045;1,1061;1,1081;1,1101;1,1122;1,115;1,1168;1,1187;1,1204;1,1221;1,1238;1,1257;1,1277;1,1296;1,1314;1,1332;1,135;1,1368;1,1386;1,1404;1,1422;1,144;1,1458;1,1476;1,1494;1,1511;1,1529;1,1547;1,1565;1,1584;1,1602;1,162;1,1638;1,1656;1,1673;1,1691;1,1709;1,1727;1,1745;1,1763;1,1781;1,1799;1,1817;1,1835;1,1853;1,1871;1,1889;1,1907;1,1925;1,1943;1,1961;1,1979;1,1997;1,2015;1,2033;1,2052;1,2069;1,2087;1,2105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
