Price Date;excess %
17/10/2020;2,49
18/10/2020;2,49
19/10/2020;2,5
20/10/2020;2,51
21/10/2020;2,53
22/10/2020;2,53
23/10/2020;2,52
24/10/2020;2,52
25/10/2020;2,52
26/10/2020;2,55
27/10/2020;2,56
28/10/2020;2,56
29/10/2020;2,56
30/10/2020;2,58
31/10/2020;2,58
01/11/2020;2,58
02/11/2020;2,57
03/11/2020;2,56
04/11/2020;2,55
05/11/2020;2,56
06/11/2020;2,56
07/11/2020;2,56
08/11/2020;2,56
09/11/2020;2,55
10/11/2020;2,56
11/11/2020;2,57
12/11/2020;2,56
13/11/2020;2,56
14/11/2020;2,56
15/11/2020;2,56
16/11/2020;2,55
17/11/2020;2,55
18/11/2020;2,55
19/11/2020;2,52
20/11/2020;2,49
21/11/2020;2,49
22/11/2020;2,49
23/11/2020;2,49
24/11/2020;2,5
25/11/2020;2,5
26/11/2020;2,5
27/11/2020;2,5
28/11/2020;2,5
29/11/2020;2,5
30/11/2020;2,5
01/12/2020;2,5
02/12/2020;2,49
03/12/2020;2,41
04/12/2020;2,44
05/12/2020;2,44
06/12/2020;2,44
07/12/2020;2,39
08/12/2020;2,38
09/12/2020;2,42
10/12/2020;2,42
11/12/2020;2,43
12/12/2020;2,43
13/12/2020;2,43
14/12/2020;2,45
15/12/2020;2,45
16/12/2020;2,46
17/12/2020;2,46
18/12/2020;2,47
19/12/2020;2,47
20/12/2020;2,47
21/12/2020;2,48
22/12/2020;2,49
23/12/2020;2,45
24/12/2020;2,43
25/12/2020;2,43
26/12/2020;2,43
27/12/2020;2,43
28/12/2020;2,36
29/12/2020;2,39
30/12/2020;2,39
31/12/2020;2,41
01/01/2021;2,41
02/01/2021;2,41
03/01/2021;2,41
04/01/2021;2,44
05/01/2021;2,47
06/01/2021;2,48
07/01/2021;2,47
08/01/2021;2,47
09/01/2021;2,47
10/01/2021;2,47
11/01/2021;2,47
12/01/2021;2,49
13/01/2021;2,52
14/01/2021;2,52
15/01/2021;2,52
16/01/2021;2,52
17/01/2021;2,52
18/01/2021;2,52
19/01/2021;2,48
20/01/2021;2,48
21/01/2021;2,47
22/01/2021;2,47
23/01/2021;2,47
24/01/2021;2,47
25/01/2021;2,49
26/01/2021;2,5
27/01/2021;2,51
28/01/2021;2,49
29/01/2021;2,47
30/01/2021;2,47
31/01/2021;2,47
01/02/2021;2,51
02/02/2021;2,49
03/02/2021;2,49
04/02/2021;2,5
05/02/2021;2,51
06/02/2021;2,51
07/02/2021;2,51
08/02/2021;2,53
09/02/2021;2,53
10/02/2021;2,54
11/02/2021;2,54
12/02/2021;2,53
13/02/2021;2,53
14/02/2021;2,53
15/02/2021;2,53
16/02/2021;2,55
17/02/2021;2,54
18/02/2021;2,52
19/02/2021;2,52
20/02/2021;2,52
21/02/2021;2,52
22/02/2021;2,52
23/02/2021;2,51
24/02/2021;2,49
25/02/2021;2,47
26/02/2021;2,45
27/02/2021;2,45
28/02/2021;2,45
01/03/2021;2,48
02/03/2021;2,5
03/03/2021;2,5
04/03/2021;2,51
05/03/2021;2,5
06/03/2021;2,5
07/03/2021;2,5
08/03/2021;2,49
09/03/2021;2,49
10/03/2021;2,5
11/03/2021;2,49
12/03/2021;2,47
13/03/2021;2,47
14/03/2021;2,47
15/03/2021;2,43
16/03/2021;2,48
17/03/2021;2,44
18/03/2021;2,4
19/03/2021;2,43
20/03/2021;2,43
21/03/2021;2,43
22/03/2021;2,44
23/03/2021;2,44
24/03/2021;2,45
25/03/2021;2,46
26/03/2021;2,47
27/03/2021;2,47
28/03/2021;2,47
29/03/2021;2,47
30/03/2021;2,47
31/03/2021;2,47
01/04/2021;2,48
02/04/2021;2,48
03/04/2021;2,48
04/04/2021;2,48
05/04/2021;2,47
06/04/2021;2,46
07/04/2021;2,48
08/04/2021;2,5
09/04/2021;2,5
10/04/2021;2,5
11/04/2021;2,5
12/04/2021;2,52
13/04/2021;2,53
14/04/2021;2,52
15/04/2021;2,52
16/04/2021;2,52
17/04/2021;2,52
18/04/2021;2,52
19/04/2021;2,53
20/04/2021;2,53
21/04/2021;2,52
22/04/2021;2,53
23/04/2021;2,52
24/04/2021;2,52
25/04/2021;2,52
26/04/2021;2,53
27/04/2021;2,54
28/04/2021;2,55
29/04/2021;2,55
30/04/2021;2,55
01/05/2021;2,55
02/05/2021;2,55
03/05/2021;2,56
04/05/2021;2,57
05/05/2021;2,58
06/05/2021;2,58
07/05/2021;2,58
08/05/2021;2,58
09/05/2021;2,58
10/05/2021;2,59
11/05/2021;2,59
12/05/2021;2,58
13/05/2021;2,58
14/05/2021;2,59
15/05/2021;2,59
16/05/2021;2,59
17/05/2021;2,61
18/05/2021;2,61
19/05/2021;2,61
20/05/2021;2,61
21/05/2021;2,61
22/05/2021;2,61
23/05/2021;2,61
24/05/2021;2,6
25/05/2021;2,61
26/05/2021;2,64
27/05/2021;2,62
28/05/2021;2,63
29/05/2021;2,63
30/05/2021;2,63
