Price Date;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC;AOC
Price Date;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP;GN_SP
Price Date;01/01/2020;01/02/2020;01/03/2020;01/04/2020;01/05/2020;01/06/2020;01/07/2020;01/08/2020;01/09/2020;01/10/2020;01/11/2020;01/12/2020;01/01/2021;01/02/2021;01/03/2021;01/04/2021;01/05/2021;01/06/2021;01/07/2021;01/08/2021;01/09/2021;01/10/2021;01/11/2021;01/12/2021;01/01/2022;01/02/2022;01/03/2022;01/04/2022;01/05/2022;01/06/2022;01/07/2022;01/08/2022;01/09/2022;01/10/2022;01/11/2022;01/12/2022;01/01/2023;01/02/2023;01/03/2023;01/04/2023;01/05/2023;01/06/2023;01/07/2023;01/08/2023;01/09/2023;01/10/2023;01/11/2023;01/12/2023;01/01/2024;01/02/2024;01/03/2024;01/04/2024;01/05/2024;01/06/2024;01/07/2024;01/08/2024;01/09/2024;01/10/2024;01/11/2024;01/12/2024
09/01/2020;12,52;12,49;11,96;11,96;12,59787229;12,11112771;12,18093734;12,18894496;12,4011177;14,69237145;17,04681023;17,37381832;18,43193481;18,26487832;17,51918688;16,61670397;16,71982647;16,34536019;15,87099608;15,51247546;16,20267567;18,71778697;19,89889923;20,19927596;20,69045403;20,50292762;19,66586441;17,12055299;17,22680236;16,84098157;16,35223387;15,98284224;16,69397059;19,2853447;20,50227046;20,81175516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/01/2020;11,822;12,48;11,99;11,96;12,40973781;11,93026219;12,16304904;12,1710449;12,38290605;14,53890523;16,86875119;17,19234359;18,27588755;18,11024538;17,37086707;16,42922789;16,53118693;16,16094552;15,69193337;15,33745771;16,01987082;18,50660567;19,67439216;19,97137993;20,19091728;20,00791838;19,19106468;16,70720559;16,81088974;16,43438395;15,95743626;15,59696298;16,29092231;18,81973198;20,00727708;20,30928979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11/01/2020;11,822;12,48;11,99;11,96;12,40973781;11,93026219;12,16304904;12,1710449;12,38290605;14,53890523;16,86875119;17,19234359;18,27588755;18,11024538;17,37086707;16,42922789;16,53118693;16,16094552;15,69193337;15,33745771;16,01987082;18,50660567;19,67439216;19,97137993;20,19091728;20,00791838;19,19106468;16,70720559;16,81088974;16,43438395;15,95743626;15,59696298;16,29092231;18,81973198;20,00727708;20,30928979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2020;11,822;12,48;11,99;11,96;12,40973781;11,93026219;12,16304904;12,1710449;12,38290605;14,53890523;16,86875119;17,19234359;18,27588755;18,11024538;17,37086707;16,42922789;16,53118693;16,16094552;15,69193337;15,33745771;16,01987082;18,50660567;19,67439216;19,97137993;20,19091728;20,00791838;19,19106468;16,70720559;16,81088974;16,43438395;15,95743626;15,59696298;16,29092231;18,81973198;20,00727708;20,30928979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13/01/2020;11,976;12,72;12,27;11,96;12,27207843;11,79792157;12,29124852;12,29932865;12,51342283;14,7058334;17,06242944;17,38973716;18,48803023;18,32046532;17,57250445;16,43944805;16,54147052;16,17099879;15,70169488;15,34699871;16,02983633;18,51811811;19,68663105;19,98380356;20,44852592;20,2631922;19,43591656;16,9203668;17,02537383;16,64406434;16,16103144;15,79595901;16,49877232;19,05984616;20,26254272;20,5684087;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14/01/2020;11,498;12,14;11,45;11,96;11,81321384;11,35678616;11,71683538;11,7245379;11,92862671;14,17453513;16,44599113;16,76147374;17,8699607;17,70799762;16,98504168;16,0708835;16,17061867;15,80845274;15,3496704;15,00292636;15,67045508;18,10295077;19,24526621;19,53577626;19,92770845;19,74709513;18,94088993;16,48941043;16,59174295;16,2201453;15,74941509;15,39364094;16,07855382;18,57439792;19,74646218;20,04453785;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15/01/2020;11,2775;12,02;11,53;11,96;11,7520319;11,2979681;11,6959657;11,7036545;11,9073798;14,1485087;16,41579398;16,73069732;17,83834328;17,67666677;16,95498995;15,94025707;16,03918158;15,67995939;15,22490609;14,88098043;15,54308339;17,95580741;19,08883795;19,37698668;19,85826612;19,67828218;18,87488638;16,43194958;16,5339255;16,16362276;15,69453291;15,33999853;16,02252469;18,50967149;19,67765145;19,97468841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16/01/2020;11,2385;12,1;11,58;11,96;11,30490956;11,08509044;11,8643174;11,81046755;12,16621505;13,89137711;16,24495771;16,42066518;17,53233579;17,49660635;16,80505786;15,84435973;15,54947476;15,25200673;15,1284736;14,84743456;15,3601714;17,67657983;18,79407161;19,15342779;19,21825261;19,17908742;18,42103933;16,62319435;16,31381422;16,00172405;15,87211861;15,577265;16,11520559;18,54547783;19,71790027;20,09492072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17/01/2020;11,127;12,09;11,49;11,96;11,2443205;11,0256795;11,80473264;11,75115324;12,10511412;13,88779663;16,2407706;16,41643278;17,4978353;17,46217617;16,77198853;15,77802222;15,48437189;15,18814929;15,06513338;14,785271;15,2958611;17,60257114;18,71538418;19,0732358;19,32719962;19,2878124;18,52546699;16,71743014;16,40629616;16,09243677;15,9620966;15,6655715;16,20656163;18,65061092;19,82967975;20,20883751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18/01/2020;11,127;12,09;11,49;11,96;11,2443205;11,0256795;11,80473264;11,75115324;12,10511412;13,88779663;16,2407706;16,41643278;17,4978353;17,46217617;16,77198853;15,77802222;15,48437189;15,18814929;15,06513338;14,785271;15,2958611;17,60257114;18,71538418;19,0732358;19,32719962;19,2878124;18,52546699;16,71743014;16,40629616;16,09243677;15,9620966;15,6655715;16,20656163;18,65061092;19,82967975;20,20883751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
